depth_mm,pair_80_optical_flow_mean_cm_per_s,pair_80_piv_mean_cm_per_s,pair_80_matched_coverage_percent,pair_100_optical_flow_mean_cm_per_s,pair_100_piv_mean_cm_per_s,pair_100_matched_coverage_percent
0.000000000000000000e+00,nan,nan,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00
1.000000000000000056e-01,nan,nan,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00
2.000000000000000111e-01,nan,nan,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00
3.000000000000000444e-01,nan,nan,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00
4.000000000000000222e-01,nan,nan,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00
5.000000000000000000e-01,nan,nan,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00
6.000000000000000888e-01,nan,nan,0.000000000000000000e+00,nan,nan,0.000000000000000000e+00
6.999999999999999556e-01,nan,nan,0.000000000000000000e+00,1.087543076354720917e+01,6.436077983138186909e+00,1.953125000000000000e-01
8.000000000000000444e-01,nan,nan,0.000000000000000000e+00,9.897207130901541916e+00,7.245539994658900085e+00,5.273437500000000000e+00
9.000000000000001332e-01,6.720984083250172603e+00,5.342736831282144827e+00,9.472656250000000000e+00,1.012369137658153484e+01,6.078137495702587323e+00,1.123046875000000000e+01
1.000000000000000000e+00,6.476422603651517562e+00,5.521014023266952009e+00,1.591796875000000355e+01,9.801091970857472191e+00,5.856374441007949017e+00,1.347656250000000000e+01
1.100000000000000089e+00,6.241813611229137138e+00,5.357091899500015408e+00,1.718750000000000000e+01,9.354186993586301568e+00,5.949347797247713565e+00,1.689453124999999645e+01
1.130090989276001601e+00,6.196677769545405390e+00,5.299560884161509833e+00,1.835937500000000000e+01,9.108825808319037876e+00,5.966161841850171399e+00,1.484375000000000000e+01
1.200000000000000178e+00,6.025629824733182538e+00,5.217634755176314698e+00,1.835937500000000000e+01,8.733619679755230791e+00,5.840535735933684691e+00,1.640625000000000355e+01
1.300000000000000266e+00,5.715028905964569361e+00,5.074849784600180769e+00,1.933593749999999289e+01,8.306613788128421660e+00,5.967504747559715383e+00,2.021484375000000000e+01
1.399999999999999911e+00,5.490463072445119330e+00,4.883614278649215379e+00,2.373046875000000000e+01,7.912893261694789793e+00,5.852400607260864973e+00,2.304687499999999645e+01
